,Title,Price,Rating,no_of_ratings,Link,ImageURL
0,"JH Gallery Handcrafted
                            and Emboss Painted Colorful Wooden Elephant Decorative Showpiece Stool (8 Inches Height,
                            Black)",₹825,4.2,1200,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTczNzE1ODU4MzY1OTk1OjE3NjIyOTczNzM6c3BfYXRmOjIwMDQ5ODgzOTMzMTA4OjowOjo&url=%2FJH-Gallery-Handcrafted-Colorful-Elephant%2Fdp%2FB08HK6XFPF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D349J41UZKK17D%26dib%3DeyJ2IjoiMSJ9.ytNwWbOinfnu9E2dHj7wED4WveuLOzP5ZcKBlpI_Lj71ENVQam90UF_3wNOOby2ysVuXP41m5kUaybdgZHrSDhl5X9umNrLf9E_oz2oemtWTiNmNoompSvpZms08AeJWtB1xl7pDypyhyl-nP8NgkaJ91vTR1_DwCKfaYOklNLTtj1hEknb07OH9AcA67bREfUTslNeC17uho7mkEfrkWyByXMJMkwF4eji-JIassHozmKvv9LhUX90w3fQyLp4JO2ByvpjJ83pOcHQXuWMCMC7I9pE3KErnxsKjXbYCgjI.0X1wvORXQ0STK91mLAhokiBsvsIPls_lwTzFliJphLw%26dib_tag%3Dse%26keywords%3Dhandcraft%26qid%3D1762297373%26sprefix%3Dhandcraft%252Caps%252C132%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=vR1fDGxhHS&sp_cr=ZAZ,https://m.media-amazon.com/images/I/91KzAfRSsaL._AC_UL320_.jpg
1,eCraftIndia Multicolour Handcrafted Decorative Window Door Wall Hanging Bells Wind Chimes Decorative Showpiece| Diwali Decoration Items for Home Decor| Gift for Diwali Navratri Housewarming,₹229,Best seller,6300,https://www.amazon.in/eCraftIndia-handicrafted-Decorative-Showpiece-Corporate/dp/B08287KNH2/ref=sr_1_11?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.ytNwWbOinfnu9E2dHj7wED4WveuLOzP5ZcKBlpI_Lj71ENVQam90UF_3wNOOby2ysVuXP41m5kUaybdgZHrSDhl5X9umNrLf9E_oz2oemtWTiNmNoompSvpZms08AeJWtB1xl7pDypyhyl-nP8NgkaJ91vTR1_DwCKfaYOklNLTtj1hEknb07OH9AcA67bREfUTslNeC17uho7mkEfrkWyByXMJMkwF4eji-JIassHozmKvv9LhUX90w3fQyLp4JO2ByvpjJ83pOcHQXuWMCMC7I9pE3KErnxsKjXbYCgjI.0X1wvORXQ0STK91mLAhokiBsvsIPls_lwTzFliJphLw&dib_tag=se&keywords=handcraft&qid=1762297373&sprefix=handcraft%2Caps%2C132&sr=8-11,https://m.media-amazon.com/images/I/61JXQapvktL._AC_UL320_.jpg
2,eCraftIndia Black Golden Resin Handcrafted Meditating Lord Buddha Idol for Home Decor | Gautam Buddha Statue for Living Room Office Meditation Yoga Spaces| Gift for Diwali Buddha Purnima Housewarming,₹294,4.1,159,https://www.amazon.in/eCraftIndia-Meditating-Handcrafted-Decorative-MSGB584_GLD/dp/B09JZSKT54/ref=sr_1_79?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-79,https://m.media-amazon.com/images/I/81foIuS8PrL._AC_UL320_.jpg
3,VS handcraft boutique Purple Silk Thread Bangles with Kundan & Stone Work – Elegant Traditional Party Set,₹499,No rating,0,https://www.amazon.in/VS-handcraft-boutique-Purple-Bangles/dp/B0FX93Q8QL/ref=sr_1_80?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-80,https://m.media-amazon.com/images/I/61dq-1hOGnL._AC_UL320_.jpg
4,"HASTHIP® White Laces and Borders, Ribbon Flower Bow Lace Trim, Lace for Saree Border, Elegant Embellishment Edge for Handcraft DIY, Wedding Decoration, Gift Packing (5.5cm Width, 1 Yard Length)",₹289,4.3,5,https://www.amazon.in/HASTHIP%C2%AE-Borders-Embellishment-Handcraft-Decoration/dp/B0F53QKK8G/ref=sr_1_81?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-81,https://m.media-amazon.com/images/I/717sFZKhLuL._AC_UL320_.jpg
5,SriAoG Handicrafts Womens Handheld Bags MINI Handbag for Girls Stylish Ethnic Traditional Small Cotton Handmade Top Handle Bags Purse Multi Colour,₹592,4.6,3,https://www.amazon.in/SriAoG-Handmade-Handheld-Bag-Handcraft/dp/B09SXVWLQZ/ref=sr_1_82?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-82,https://m.media-amazon.com/images/I/810ORp317nL._AC_UL320_.jpg
6,IR HANDCRAFTS Handmade Unruled Cardboard Journal Diary with Metal Buckle Lock – A5 (5x7) | 200 Pages Smooth Paper Sketchbook/Notebook for Men & Women (HOME AND BUTTERFLY),₹249,3.0,1,https://www.amazon.in/IR-HANDCRAFTS-Handmade-Unruled-Cardboard/dp/B0F79CC1J5/ref=sr_1_83?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-83,https://m.media-amazon.com/images/I/A1cVjUECcBL._AC_UL320_.jpg
7,"SriShopify Handcrafts Embroidery Eco friendly Jute Women’s Handbag Tote Bag (Medium, Blue)",₹499,No rating,0,https://www.amazon.in/SriShopify-Handcrafts-Embroidery-friendly-Handbag/dp/B08MKYQQJL/ref=sr_1_84?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-84,https://m.media-amazon.com/images/I/81YB+gDaaqL._AC_UL320_.jpg
8,Choice One Fancy Moti Mukut MATA Rani/Hanuman ji and All God Idol Handcraft Fancy Mukut for Thakur Ji Size (size-10x5.5 inch),₹360,No rating,0,https://www.amazon.in/Moti-Mukut-MATA-Rani-size-10x5-5/dp/B0FR471ZRJ/ref=sr_1_85?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-85,https://m.media-amazon.com/images/I/61SAE10QrLL._AC_UL320_.jpg
9,"Fittingo Wooden Ganesh Idol/Handcraft Floral Carving Ganesh Murti/Wooden Ganesha Statue for Home Decor/Ganpati Murti for Home Temple, Pooja Room, Office & Festive Gifting (10.5 Inch)","₹3,300",5.0,1,https://www.amazon.in/Fittingo-Handcraft-Carving-Ganesha-Ganpati/dp/B0FLQD9J2K/ref=sr_1_86?crid=349J41UZKK17D&dib=eyJ2IjoiMSJ9.-1lnxUpcHd4S8NNsblduX-4g2bgTp_TtFdZCYCJPF_DBBsi3zSnm9PyUk0UUypR_AenDAj8Kr3RMfmXh_ZYwATb_x782AJNCv08U1Uugam7bBPWxgKmE9R7Z1Nt7FQrphWvYtQhpvmu5Bg6UO9kXst7gUeFN6mdZfJINAu_z-p-0W1AkT7IsnssufA0BC2KmEPjczIlKVK7D4Fxnh7KcALsOk92hpa3OJoCizCmGKm4AiUuetPUAXn4ZA8wL7Be838I9Q2l5tco99f8FJc0Zag3d0SsrcKV3LJ-G_D4r5lU.VE_758XbIwE4RCaM7WMzn2PF2tAIR1Wp5TL-ZLVIVzI&dib_tag=se&keywords=handcraft&qid=1762297379&sprefix=handcraft%2Caps%2C132&sr=8-86,https://m.media-amazon.com/images/I/817qX2EMxcL._AC_UL320_.jpg
